,Site,Year,potato_intensity,Lon,Lat,CPBA,CPBL,Month,tavg,tmin,tmax,category,Prop_potato,Day_in_Month
11082,25295,2017,0.07062,-89.18013618,44.36810748,0.1,0,6,18.80000019,12.10000038,25.5,Potatoes,0.0387,5
11083,25296,2017,0.07062,-89.18013618,44.36810748,1.3,0,6,18.80000019,12.10000038,25.5,Potatoes,0.0387,12
11084,25297,2017,0.07062,-89.18013618,44.36810748,0.7,1.5,6,18.80000019,12.10000038,25.5,Potatoes,0.0387,19
11085,25298,2017,0.07062,-89.18013618,44.36810748,2,16.3,6,18.80000019,12.10000038,25.5,Potatoes,0.0387,26
11086,25299,2017,0.07062,-89.18013618,44.36810748,0.5,7.3,7,21.20000029,14.80000019,27.60000038,Potatoes,0.0387,3
11087,253,2007,0.247120412,-89.57713972,44.03095641,3,2,7,21.25000048,14.80000019,27.70000076,Potatoes,0.122770919,23
11088,25300,2017,0.07062,-89.18013618,44.36810748,1,11.7,7,21.20000029,14.80000019,27.60000038,Potatoes,0.0387,10
11089,25301,2017,0.07062,-89.18013618,44.36810748,1.5,36.7,7,21.20000029,14.80000019,27.60000038,Potatoes,0.0387,17
11090,25302,2017,0.07062,-89.18013618,44.36810748,2,4.5,7,21.20000029,14.80000019,27.60000038,Potatoes,0.0387,24
11091,25303,2017,0.07062,-89.18013618,44.36810748,3.3,2,7,21.20000029,14.80000019,27.60000038,Potatoes,0.0387,31
11092,25304,2017,0.07062,-89.18013618,44.36810748,23.3,3,8,19.95000029,13.69999981,26.20000076,Potatoes,0.0387,7
11093,25305,2017,0.07062,-89.18013618,44.36810748,5,2,8,19.95000029,13.69999981,26.20000076,Potatoes,0.0387,14
11094,25306,2017,0.07062,-89.18013618,44.36810748,2.3,2,8,19.95000029,13.69999981,26.20000076,Potatoes,0.0387,20
11095,25307,2017,0.07062,-89.18013618,44.36810748,1.3,0.1,8,19.95000029,13.69999981,26.20000076,Potatoes,0.0387,28
11096,25308,2017,0.07062,-89.18013618,44.36810748,2,0,9,15.04999971,8.699999809,21.39999962,Potatoes,0.0387,4
11097,25355,2015,0.0616,-89.18081437,44.36486061,0,0,5,13.80000019,7,20.60000038,Potatoes,0.0497,22
11098,25356,2015,0.0616,-89.18081437,44.36486061,0,0,5,13.80000019,7,20.60000038,Potatoes,0.0497,29
11099,25357,2015,0.0616,-89.18081437,44.36486061,0,0,6,18.80000019,12.10000038,25.5,Potatoes,0.0497,5
11100,25358,2015,0.0616,-89.18081437,44.36486061,0.1,0,6,18.80000019,12.10000038,25.5,Potatoes,0.0497,12
11101,25359,2015,0.0616,-89.18081437,44.36486061,2,5.5,6,18.80000019,12.10000038,25.5,Potatoes,0.0497,22
11102,25360,2015,0.0616,-89.18081437,44.36486061,1.3,12.3,6,18.80000019,12.10000038,25.5,Potatoes,0.0497,29
11103,25361,2015,0.0616,-89.18081437,44.36486061,0.2,5.2,7,21.25,14.89999962,27.60000038,Potatoes,0.0497,6
11104,25362,2015,0.0616,-89.18081437,44.36486061,0.3,2.3,7,21.25,14.89999962,27.60000038,Potatoes,0.0497,10
11105,25363,2015,0.0616,-89.18081437,44.36486061,1.7,11,7,21.25,14.89999962,27.60000038,Potatoes,0.0497,17
11106,25364,2015,0.0616,-89.18081437,44.36486061,0.3,2,7,21.25,14.89999962,27.60000038,Potatoes,0.0497,24
11107,25365,2015,0.0616,-89.18081437,44.36486061,3,3.5,7,21.25,14.89999962,27.60000038,Potatoes,0.0497,31
11108,25366,2015,0.0616,-89.18081437,44.36486061,1.7,1.5,8,19.95000029,13.69999981,26.20000076,Potatoes,0.0497,7
11109,25367,2015,0.0616,-89.18081437,44.36486061,12.7,8.3,8,19.95000029,13.69999981,26.20000076,Potatoes,0.0497,14
11110,25368,2015,0.0616,-89.18081437,44.36486061,3.3,1.5,8,19.95000029,13.69999981,26.20000076,Potatoes,0.0497,21
11111,25369,2015,0.0616,-89.18081437,44.36486061,0,0,8,19.95000029,13.69999981,26.20000076,Potatoes,0.0497,28
11112,25370,2018,0.0788,-89.18081437,44.36486061,0,0,5,13.80000019,7,20.60000038,Potatoes,0.0618,22
11113,25371,2018,0.0788,-89.18081437,44.36486061,0,0,5,13.80000019,7,20.60000038,Potatoes,0.0618,29
11114,25372,2018,0.0788,-89.18081437,44.36486061,0,0,6,18.80000019,12.10000038,25.5,Potatoes,0.0618,4
11115,25373,2018,0.0788,-89.18081437,44.36486061,0.3,0,6,18.80000019,12.10000038,25.5,Potatoes,0.0618,11
11116,25374,2018,0.0788,-89.18081437,44.36486061,2,0.5,6,18.80000019,12.10000038,25.5,Potatoes,0.0618,18
11117,25375,2018,0.0788,-89.18081437,44.36486061,1,7.5,6,18.80000019,12.10000038,25.5,Potatoes,0.0618,25
11118,25376,2018,0.0788,-89.18081437,44.36486061,5,21,7,21.25,14.89999962,27.60000038,Potatoes,0.0618,2
11119,25377,2018,0.0788,-89.18081437,44.36486061,1.5,5,7,21.25,14.89999962,27.60000038,Potatoes,0.0618,9
11120,25378,2018,0.0788,-89.18081437,44.36486061,4.7,13,7,21.25,14.89999962,27.60000038,Potatoes,0.0618,16
11121,25379,2018,0.0788,-89.18081437,44.36486061,7.3,3.7,7,21.25,14.89999962,27.60000038,Potatoes,0.0618,23
11122,25380,2018,0.0788,-89.18081437,44.36486061,3,15.3,7,21.25,14.89999962,27.60000038,Potatoes,0.0618,30
11123,25381,2018,0.0788,-89.18081437,44.36486061,3.3,23.3,8,19.95000029,13.69999981,26.20000076,Potatoes,0.0618,6
11124,25382,2018,0.0788,-89.18081437,44.36486061,2,3.3,8,19.95000029,13.69999981,26.20000076,Potatoes,0.0618,13
11125,25383,2018,0.0788,-89.18081437,44.36486061,6.5,3.5,8,19.95000029,13.69999981,26.20000076,Potatoes,0.0618,20
11126,25384,2018,0.0788,-89.18081437,44.36486061,14.7,5,8,19.95000029,13.69999981,26.20000076,Potatoes,0.0618,27
11127,25385,2018,0.0788,-89.18081437,44.36486061,0,0,9,15.09999991,8.800000191,21.39999962,Potatoes,0.0618,4
11128,25386,2018,0.0788,-89.18081437,44.36486061,0,0,9,15.09999991,8.800000191,21.39999962,Potatoes,0.0618,10
11129,254,2007,0.247120412,-89.57713972,44.03095641,1.3,0.7,7,21.25000048,14.80000019,27.70000076,Potatoes,0.122770919,30
11130,25420,2015,0.07024,-89.1738387,44.36498702,0,0,5,13.80000019,7,20.60000038,Potatoes,0.0487,22
11131,25421,2015,0.07024,-89.1738387,44.36498702,0,0,5,13.80000019,7,20.60000038,Potatoes,0.0487,29
11132,25422,2015,0.07024,-89.1738387,44.36498702,0,0,6,18.84999991,12.19999981,25.5,Potatoes,0.0487,5
11133,25423,2015,0.07024,-89.1738387,44.36498702,0.1,0,6,18.84999991,12.19999981,25.5,Potatoes,0.0487,12
11134,25424,2015,0.07024,-89.1738387,44.36498702,2,5.5,6,18.84999991,12.19999981,25.5,Potatoes,0.0487,22
11135,25425,2015,0.07024,-89.1738387,44.36498702,1.3,12.3,6,18.84999991,12.19999981,25.5,Potatoes,0.0487,29
11136,25426,2015,0.07024,-89.1738387,44.36498702,0.2,5.2,7,21.25,14.89999962,27.60000038,Potatoes,0.0487,6
